20170120,20170120-S02E04,The Travelers,1:00,9.5,2,
20170120,20170120-S02E05,Lost and Found,0:56,9.3,2,
20170120,20170120-S02E06,An Endless Cycle,0:54,9.6,2,
20170120,20170120-S02E07,The White Devil,0:58,9.3,2,
20170120,20170120-S02E08,Endings and Beginnings,0:57,9.5,2,
20160150,20160150-S01E01,Chapter One: The Vanishing of Will Byers,0:47,8.6,1,
20160150,20160150-S01E02,Chapter Two: The Weirdo on Maple Street,0:55,8.5,1,
20160150,20160150-S01E03,Chapter Three: Holly Jolly,0:51,8.9,1,
20160150,20160150-S01E04,Chapter Four: The Body,0:49,9.0,1,
20160150,20160150-S01E05,Chapter Five: The Flea and the Acrobat,0:52,8.8,1,
20160150,20160150-S01E06,Chapter Six: The Monster,0:46,8.9,1,
20160150,20160150-S01E07,Chapter Seven: The Bathtub,0:41,9.1,1,
20160150,20160150-S01E08,Chapter Eight: The Upside Down,0:54,9.4,1,
20160150,20160150-S02E01,Chapter One: MADMAX,0:48,8.3,2,
20160150,20160150-S02E02,Chapter Two: Trick or Treat Freak,0:56,8.4,2,
20160150,20160150-S02E03,Chapter Three: The Pollywog,0:51,8.7,2,
20160150,20160150-S02E04,Chapter Four: Will the Wise,0:46,8.7,2,
20160150,20160150-S02E05,Chapter Five: Dig Dug,0:58,8.9,2,
20160150,20160150-S02E06,Chapter Six: The Spy,0:51,9.2,2,
20160150,20160150-S02E07,Chapter Seven: The Lost Sister,0:45,6.1,2,
20160150,20160150-S02E08,Chapter Eight: The Mind Flayer,0:47,9.3,2,
20160150,20160150-S02E09,Chapter Nine: The Gate,1:02,9.4,2,
20160150,20160150-S03E01,Chapter One: Suzie Do You Copy?,0:50,7.9,3,
20160150,20160150-S03E02,Chapter Two: The Mall Rats,0:50,8.0,3,
20160150,20160150-S03E03,Chapter Three: The Case of the Missing Lifeguard,0:49,8.4,3,
20160150,20160150-S03E04,Chapter Four: The Sauna Test,0:52,9.0,3,
20160150,20160150-S03E05,Chapter Five: The Flayed,0:51,8.6,3,
20160150,20160150-S03E06,Chapter Six: E Pluribus Unum,0:59,8.7,3,
20160150,20160150-S03E07,Chapter Seven: The Bite,0:55,8.8,3,
20160150,20160150-S03E08,Chapter Eight: The Battle of Starcourt,1:17,9.3,3,
20170220,20170220-S01E01,Efectuar lo acordado,0:47,8.3,1,
20170220,20170220-S01E02,Imprudencias letales,0:41,8.4,1,
20170220,20170220-S01E03,Errar al disparar,0:50,8.2,1,
20170220,20170220-S01E04,Caballo de Troya,0:51,8.3,1,
20170220,20170220-S01E05,El dia de la marmota,0:42,8.4,1,
20170220,20170220-S01E06,La calida Guerra Fria,0:43,8.3,1,
20170220,20170220-S01E07,Refrigerada inestabilidad,0:47,8.4,1,
20170220,20170220-S01E08,Tu lo has buscado,0:43,8.2,1,
20170220,20170220-S01E09,El que la sigue la consigue,0:42,8.7,1,
